title,label
This Bride Eating A Burger At A Hockey Game In Her Wedding Dress Is All Of Us,clickbait
Dylan O'Brien's Tweets As Motivational Posters,clickbait
Long Island teen found guilty of hate crime,not-clickbait
"Which Zodiac Should You Date Based On Your Favorite ""Game Of Thrones"" Character",clickbait
Animatronic Obama Going to Disney World With High-Tech Style,not-clickbait
UK football club criticized by council for attempting to trademark city's bird,not-clickbait
Progress Lags in a Meeting Between Leaders in Israel,not-clickbait
Georgian Leader Faces Calls to Quit,not-clickbait
How Ready For Valentine's Day Are You Really,clickbait
Political Shifts on Gay Rights Lag Behind Culture,not-clickbait
12 Bizarre Christmas Traditions From Around The World,clickbait
"Taylor Swift Donated $50,000 To Her Backup Dancer's Nephew With Cancer",clickbait
18 illegal Afghan and Burmese immigrants killed in truck crash in Turkey,not-clickbait
Pakistani President met with protest on fifth day of UK tour,not-clickbait
Musician Phil Collins announces he will never play drums again,not-clickbait
"Hadoop, Analytical Software, Finds Uses Beyond Search",not-clickbait
Obama Housing Plan Tries to Slow Downward Spiral,not-clickbait
These Flavorful Buffalo Chicken Sliders Are Too Damn Good,clickbait
"Counted Out, U.S. Advances in Confederations Cup",not-clickbait
French police ban public meetings and increase security measures in Paris,not-clickbait
Madagascar Reaches Showdown for Control,not-clickbait
Profit Falls at BlackRock on Downturn in Real Estate,not-clickbait
21 Things New Parents Take A Little Getting Used To,clickbait
U.N. to begin forming response to Iranian nuclear program,not-clickbait
21 Things All Sweary Girls Are Tired Of Hearing,clickbait
Press conference to be held Thursday on new 'Star Trek 11' movie,not-clickbait
Suspected Iraqi bomber murders investigator,not-clickbait
Global stock markets plunge,not-clickbait
$200 Laptops Break a Business Model,not-clickbait
State-Run China Daily Points to Detention Center Abuses,not-clickbait
"Turns Out No One Knows The Words To ""Waterfalls""",clickbait
22 Things You'll Only Understand If You've Been On Holiday With Your Mum,clickbait
The 21 Most Alberta Things Ever,clickbait
"Impairing the European Union, Gibe by Gibe",not-clickbait
"12 ""Harry Potter"" Quotes That Could Totally Be About Your Desi Life",clickbait
Major train wreck in Southern India,not-clickbait
A Slight Deficit Can Actually Be an Edge,not-clickbait
16 Of The Greatest Audience Reactions From The 2015 Emmys,clickbait
Day 3 Of BuzzFeed's 7-Day Clean Eating Challenge,clickbait
"Actor Siddharth Doesn't Want Us To Call Him A Hero, But He's Leaving Us No Choice",clickbait
